postime,time_est,icao,call,sqk,lat,long,alt,vsi,cmsgs,tsecs
,1515285765413,A0547F,,,,,5100,,1,12
,1515327214763,A0547F,,,,,11325,,2,31
1515331236518,1515331237987,A0547F,N120JE,4767,22.42886700,-71.03368000,45000,60,6,24
1515331258940,1515331302987,A0547F,N120JE,4767,22.40299999,-70.98601499,45000,0,11,89
1515331352595,1515331359987,A0547F,N120JE,4767,22.29954499,-70.79584500,45000,0,19,146
1515331411032,1515331418987,A0547F,N120JE,4767,22.23523000,-70.67808999,45000,0,22,205
1515331515093,1515331528987,A0547F,N120JE,4767,22.12060500,-70.46870400,45000,190,30,315
1515331515093,1515331536987,A0547F,N120JE,4767,22.12060500,-70.46870400,45000,190,30,323
1515331680388,1515331681873,A0547F,N120JE,,21.93301400,-70.12757999,45025,0,13,62
1515331721060,1515331721873,A0547F,N120JE,4767,21.88559000,-70.04169000,44975,190,23,102
1515331780653,1515331781873,A0547F,N120JE,4767,21.82024399,-69.92360999,45000,60,31,162
1515331837418,1515331839873,A0547F,N120JE,4767,21.75892599,-69.81297000,45000,60,37,220
1515331909933,1515331929873,A0547F,N120JE,4767,21.67666600,-69.66500999,45000,60,56,310
1515331957214,1515331958873,A0547F,N120JE,4767,21.62365700,-69.56987999,45000,60,61,339
1515332011104,1515332030873,A0547F,N120JE,4767,21.56281999,-69.46085999,45000,0,73,411
1515332179649,1515332179462,A0547F,N120JE,4767,21.46806300,-69.29152000,45000,60,7,10
1515332189899,1515332198462,A0547F,N120JE,4767,21.39637799,-69.16378000,45000,0,22,29
1515332350225,1515332354462,A0547F,N120JE,4767,21.17372100,-68.76877000,45000,60,69,185
1515332371756,1515332371462,A0547F,N120JE,4767,21.14858999,-68.72436999,45000,60,74,202
1515332375131,1515332376462,A0547F,N120JE,4767,21.14538599,-68.71868000,45000,-60,76,207
1515332467583,1515332468462,A0547F,N120JE,4767,21.03840599,-68.53022000,45000,0,107,299
1515332472302,1515332507462,A0547F,N120JE,4767,21.03263900,-68.51998000,45000,0,110,338
1515333279997,1515333281903,A0547F,,,19.97602799,-67.02862000,45000,60,5,21
1515333485682,1515333491464,A0547F,N120JE,4767,19.70425399,-66.67774000,38375,-2240,28,78
1515333571307,1515333575464,A0547F,N120JE,4767,19.56944300,-66.50463999,34600,-2490,40,162
1515333577353,1515333578464,A0547F,N120JE,4767,19.56078499,-66.49349999,34375,-2490,41,165
1515333801945,1515333827663,A0547F,N120JE,,19.29574600,-66.15471999,26950,-2430,16,37
1515360757651,1515360756916,A0547F,,3345,20.09948700,-66.07962999,37050,2560,2,23
