postime,time_est,icao,call,sqk,lat,long,alt,vsi,cmsgs,tsecs
1465430391972,1465430400329,A1C1BD,N212JE,1513,39.81568899,-73.28036099,24325,2112,604,1223
1465430459160,1465430459329,A1C1BD,N212JE,1513,39.81596400,-73.08272700,26500,1920,632,1282
1465430517379,1465430520329,A1C1BD,N212JE,1513,39.77416999,-72.90766200,28200,1984,661,1343
1465430579363,1465430579329,A1C1BD,N212JE,1513,39.67854299,-72.75385300,30250,3136,692,1402
1465430640488,1465430640329,A1C1BD,N212JE,1513,39.57389800,-72.61485199,32200,2176,720,1463
1465430700488,1465430700329,A1C1BD,N212JE,1513,39.47081000,-72.47824000,33725,1344,753,1523
1465430756739,1465430759329,A1C1BD,N212JE,1513,39.37211599,-72.34783699,35475,1728,781,1582
1465430836707,1465430837329,A1C1BD,N212JE,1513,39.23739599,-72.17044300,37450,704,826,1660
1465430879004,1465430879329,A1C1BD,N212JE,1513,39.16891499,-72.08058200,38400,2304,847,1702
1465430940661,1465430940329,A1C1BD,N212JE,1513,39.06344599,-71.94271600,39475,1216,879,1763
1465431000708,1465431000329,A1C1BD,N212JE,1513,38.97106900,-71.82228399,40675,320,914,1823
1465431059958,1465431060329,A1C1BD,N212JE,1513,38.87017800,-71.69146299,41650,192,947,1883
1465431120755,1465431120329,A1C1BD,N212JE,1513,38.77253700,-71.56524000,42325,768,978,1943
1465431180036,1465431180329,A1C1BD,N212JE,1513,38.67234100,-71.43634000,42775,1024,1007,2003
1465431240068,1465431240329,A1C1BD,N212JE,1513,38.57235699,-71.30807600,44500,2624,1039,2063
1465431297271,1465431299329,A1C1BD,N212JE,1513,38.48062099,-71.19098800,45000,64,1069,2122
1465431358084,1465431359329,A1C1BD,N212JE,1513,38.38650500,-71.07137500,45025,0,1101,2182
1465431417177,1465431419329,A1C1BD,N212JE,1513,38.29396400,-70.95406599,45000,64,1131,2242
1465431479537,1465431479329,A1C1BD,N212JE,1513,38.19513400,-70.82957399,45000,-64,1161,2302
1465431539443,1465431539329,A1C1BD,N212JE,1513,38.10058600,-70.71098800,45000,64,1193,2362
1465431598178,1465431599329,A1C1BD,N212JE,1513,38.00752299,-70.60065699,45000,128,1217,2422
1465431655100,1465431659329,A1C1BD,N212JE,1513,37.89715600,-70.51896100,45000,0,1241,2482
1465431694600,1465431719329,A1C1BD,N212JE,1513,37.82203700,-70.47180199,45000,64,1259,2542
1465431779928,1465431779329,A1C1BD,N212JE,1513,37.65921000,-70.36994400,45000,64,1274,2602
1465431779928,1465431839329,A1C1BD,N212JE,1513,37.65921000,-70.36994400,45000,64,1275,2662
1465431779928,1465431899329,A1C1BD,N212JE,1513,37.65921000,-70.36994400,45000,64,1277,2722
,1465439099209,A1C1BD,,,,,45000,,2,15
,1465439159209,A1C1BD,,,,,45000,64,5,75
,1465439219209,A1C1BD,,,,,45000,64,9,135
,1465439279209,A1C1BD,,,,,45000,64,10,195
1465439639304,1465439640209,A1C1BD,N212JE,,21.84809900,-66.12820700,45000,-64,38,556
1465439698726,1465439699209,A1C1BD,N212JE,,21.73045300,-66.09924300,45000,0,72,615
