postime,time_est,icao,call,sqk,lat,long,alt,vsi,cmsgs,tsecs
,1515231815679,A1C1BD,,,,,30650,,1,50
,1515282453451,A1C1BD,,,,,12975,,1,27
,1515323494629,A1C1BD,,,,,2225,,1,42
,1515374253771,A1C1BD,,,,,38300,,1,53
,1515885031237,A1C1BD,,,,,5988,,1,38
1520548351290,1520548351290,A1C1BD,N212JE,,32.04659999,-81.26499900,3975,128,38,32
1520548351164,1520548351946,A1C1BD,N212JE,,32.04659999,-81.26499900,3975,128,38,33
1520548390821,1520548411290,A1C1BD,N212JE,,32.00350199,-81.26460299,3975,0,89,92
1520548366899,1520548411946,A1C1BD,N212JE,,32.02719900,-81.26470200,4000,64,64,93
,1520548411977,A1C1BD,,,,,3975,0,2,8
1520548451993,1520548470977,A1C1BD,,,31.92090000,-81.26349600,5325,1664,22,67
1520548452368,1520548471290,A1C1BD,N212JE,,31.92090000,-81.26349600,5325,1664,109,152
1520548528884,1520548530977,A1C1BD,N212JE,3435,31.82519900,-81.25659899,6825,1472,80,127
1520548529087,1520548531290,A1C1BD,N212JE,3435,31.82519900,-81.25659899,6825,1472,167,212
1520548548978,1520548590977,A1C1BD,N212JE,3435,31.79530000,-81.25190000,8375,1600,108,187
1520548549353,1520548591290,A1C1BD,N212JE,3435,31.79530000,-81.25190000,8375,1600,194,272
1520548548978,1520548650977,A1C1BD,N212JE,3435,31.79530000,-81.25190000,10425,2624,121,247
1520548549353,1520548651290,A1C1BD,N212JE,3435,31.79530000,-81.25190000,10425,2624,207,332
1520548548978,1520548710977,A1C1BD,N212JE,3435,31.79530000,-81.25190000,12675,2752,133,307
1520548549353,1520548711290,A1C1BD,N212JE,3435,31.79530000,-81.25190000,12575,2624,222,392
1520548770432,1520548771290,A1C1BD,N212JE,3435,31.43188100,-81.19181799,15750,2432,247,452
1520548548978,1520548771977,A1C1BD,N212JE,3435,31.79530000,-81.25190000,15100,2752,142,368
1520548548978,1520548830977,A1C1BD,N212JE,3435,31.79530000,-81.25190000,16175,2752,143,427
1520548828104,1520548831290,A1C1BD,N212JE,3435,31.32262000,-81.17463700,18100,2432,263,512
1520548889308,1520548891290,A1C1BD,N212JE,3435,31.20158000,-81.17005899,20600,2368,365,572
1520548951417,1520548951290,A1C1BD,N212JE,3435,31.07538999,-81.16606099,23025,2496,552,632
1520549009433,1520549010290,A1C1BD,N212JE,3435,30.95542000,-81.16007200,25325,2432,687,691
1520549061340,1520549070290,A1C1BD,N212JE,3435,30.84658999,-81.13192700,27800,2432,781,751
,1520549071903,A1C1BD,,,,,27850,2432,8,6
1520549130309,1520549130290,A1C1BD,N212JE,3435,30.71912000,-81.01351200,30275,2496,950,811
1520549129825,1520549131903,A1C1BD,N212JE,,30.71996100,-81.01444999,30250,2560,68,66
1520549190684,1520549191290,A1C1BD,N212JE,3435,30.59678100,-80.93903400,32700,2368,1094,872
1520549193324,1520549192903,A1C1BD,N212JE,,30.59111000,-80.93789700,32775,2368,154,127
1520549241731,1520549251290,A1C1BD,N212JE,3435,30.48903100,-80.94230700,35000,2368,1227,932
,1520549252544,A1C1BD,,,,,,,2,1
1520549251964,1520549252903,A1C1BD,N212JE,,30.46765100,-80.94532800,35075,2368,262,187
1520549308466,1520549311290,A1C1BD,N212JE,3435,30.35069100,-80.96180699,37425,2432,1365,992
,1520549312544,A1C1BD,,,,,,2432,34,61
1520549310432,1520549312903,A1C1BD,N212JE,,30.34666400,-80.96240199,37500,2432,364,247
1520549367685,1520549370290,A1C1BD,N212JE,3435,30.23076100,-80.97926300,39650,1984,1571,1051
1520549324560,1520549371544,A1C1BD,,,30.33227400,-80.96451399,38775,2048,67,120
1520549371650,1520549371903,A1C1BD,N212JE,,30.22274799,-80.98038499,39700,1920,438,306
1520549431279,1520549431290,A1C1BD,N212JE,3435,30.10396000,-80.99751299,41525,1280,1718,1112
1520549324560,1520549432544,A1C1BD,,,30.33227400,-80.96451399,41400,1216,114,181
1520549425462,1520549432903,A1C1BD,N212JE,3435,30.11552599,-80.99582700,41550,1216,511,367
1520549489170,1520549490290,A1C1BD,N212JE,3435,29.98677100,-81.01452600,42200,256,1929,1171
1520549324560,1520549491544,A1C1BD,,,30.33227400,-80.96451399,42175,256,156,240
1520549490149,1520549491903,A1C1BD,N212JE,3435,29.98507700,-81.01480100,42200,256,573,426
1520549492711,1520549492524,A1C1BD,N212JE,3435,29.97926300,-81.01566099,42200,448,244,47
1520549551217,1520549551290,A1C1BD,N212JE,3435,29.85640000,-81.03373000,42850,704,2111,1232
1520549552545,1520549552544,A1C1BD,,,29.85427599,-81.03407900,42875,768,204,301
1520549506461,1520549552903,A1C1BD,N212JE,3435,29.95092800,-81.01985899,42350,640,584,487
1520549553883,1520549553524,A1C1BD,N212JE,3435,29.85108900,-81.03452199,42900,1024,700,108
1520549610217,1520549610290,A1C1BD,N212JE,3435,29.73156000,-81.05126199,43000,0,2345,1291
1520549609534,1520549611544,A1C1BD,N212JE,,29.73367300,-81.05094900,43000,64,256,360
,1520549612976,A1C1BD,,,,,43000,,2,40
1520549613319,1520549613524,A1C1BD,N212JE,3435,29.72551199,-81.05206699,43000,-64,1103,168
1520549671155,1520549671290,A1C1BD,N212JE,3435,29.60417000,-81.06970200,43000,64,2541,1352
1520549668533,1520549672544,A1C1BD,N212JE,,29.61067200,-81.06874899,43000,64,304,421
1520549625647,1520549673524,A1C1BD,N212JE,3435,29.69976900,-81.05572899,43000,64,1215,228
1520549729046,1520549731290,A1C1BD,N212JE,3435,29.49144899,-81.10440800,42800,-1216,2656,1412
1520549690530,1520549731499,A1C1BD,,,29.56453499,-81.07543900,43000,,6,58
1520549727532,1520549732544,A1C1BD,N212JE,,29.49480000,-81.10220499,42875,-1280,351,481
1520549731537,1520549733524,A1C1BD,N212JE,3435,29.48753700,-81.10715999,42775,-1280,1429,288
1520549790750,1520549791290,A1C1BD,N212JE,0110,29.41516100,-81.20063799,41475,-1280,2754,1472
1520549792532,1520549792544,A1C1BD,N212JE,,29.41392499,-81.20370099,41425,-1280,406,541
1520549794240,1520549794524,A1C1BD,N212JE,3435,29.41230900,-81.20792199,41400,-1280,1807,349
1520549843500,1520549850290,A1C1BD,N212JE,0110,29.39680500,-81.30759399,41000,0,2872,1531
,1520549850671,A1C1BD,,,,,,-64,4,39
1520549849516,1520549852544,A1C1BD,N212JE,,29.39762899,-81.31937499,41000,-64,456,601
1520549854067,1520549853524,A1C1BD,N212JE,3435,29.39885500,-81.32984799,41000,-64,2479,408
1520549909938,1520549911290,A1C1BD,N212JE,0110,29.43557699,-81.44239000,41000,64,2996,1592
1520549908531,1520549911671,A1C1BD,,,29.43446799,-81.43949600,41000,64,9,100
1520549912531,1520549912544,A1C1BD,N212JE,,29.43753999,-81.44741299,41000,64,505,661
,1520549913160,A1C1BD,,,,,41000,0,3,14
1520549914160,1520549914524,A1C1BD,N212JE,3435,29.43891899,-81.45094699,41000,0,3352,469
1520549966860,1520549970290,A1C1BD,N212JE,0110,29.47975200,-81.55425999,41000,0,3137,1651
1520549966516,1520549970671,A1C1BD,,,29.47947699,-81.55357399,41000,0,23,159
1520549970532,1520549971544,A1C1BD,N212JE,,29.48269600,-81.56174599,41000,0,547,720
1520549968363,1520549972160,A1C1BD,,,29.48115900,-81.55781600,41000,0,71,73
1520549973706,1520549973524,A1C1BD,N212JE,3435,29.48533600,-81.56841599,41000,64,4168,528
1520550030626,1520550031290,A1C1BD,N212JE,0110,29.52971499,-81.67995500,41000,-64,3272,1712
1520549966516,1520550031671,A1C1BD,N212JE,,29.47947699,-81.55357399,41000,-64,37,220
1520550027516,1520550032544,A1C1BD,N212JE,,29.52699300,-81.67310299,41000,0,588,781
1520550032300,1520550033160,A1C1BD,N212JE,,29.53125000,-81.68377700,41000,0,170,134
1520550033768,1520550033524,A1C1BD,N212JE,3435,29.53230299,-81.68651900,41000,0,4845,588
1520550089782,1520550090290,A1C1BD,N212JE,0110,29.57560700,-81.79632599,41000,0,3415,1771
1520550078501,1520550090671,A1C1BD,N212JE,,29.56667600,-81.77398700,41000,-64,68,279
1520550059516,1520550091544,A1C1BD,N212JE,,29.55210500,-81.73688099,41000,0,608,840
1520550092252,1520550093160,A1C1BD,N212JE,,29.57785000,-81.80187200,41000,-64,316,194
1520550093580,1520550093524,A1C1BD,N212JE,3435,29.57876600,-81.80419899,41000,-64,5543,648
1520550145720,1520550151290,A1C1BD,N212JE,0110,29.61937300,-81.90770700,41000,-64,3581,1832
1520550125501,1520550151671,A1C1BD,N212JE,,29.60345299,-81.86726299,41000,-64,98,340
1520550140501,1520550152544,A1C1BD,N212JE,,29.61504400,-81.89655999,41000,-64,634,901
1520550153548,1520550154160,A1C1BD,N212JE,,29.62556500,-81.92353799,41000,-64,454,255
1520550150705,1520550154524,A1C1BD,N212JE,3435,29.62309799,-81.91718600,41000,-64,6184,709
1520550205705,1520550211290,A1C1BD,N212JE,0110,29.66606500,-82.02651199,41000,0,3743,1892
1520550194579,1520550211671,A1C1BD,N212JE,,29.65736000,-82.00426899,41000,64,126,400
1520550198517,1520550213544,A1C1BD,N212JE,,29.66020000,-82.01153899,41000,64,658,962
1520550208596,1520550214160,A1C1BD,N212JE,3435,29.66839600,-82.03243299,41000,-64,669,315
1520550215095,1520550214524,A1C1BD,N212JE,3435,29.67360700,-82.04552099,41000,0,6806,769
1520550270440,1520550270290,A1C1BD,N212JE,3435,29.71671500,-82.15522000,41000,0,3944,1951
1520550244502,1520550270671,A1C1BD,N212JE,,29.69585899,-82.10206900,41000,0,164,459
1520550264501,1520550271544,A1C1BD,N212JE,,29.71188400,-82.14282099,41000,-64,672,1020
1520550270330,1520550273160,A1C1BD,N212JE,3435,29.71671500,-82.15522000,41000,-128,879,374
1520550273797,1520550273524,A1C1BD,N212JE,3435,29.71939100,-82.16199400,41000,-256,7459,828
1520550329799,1520550331290,A1C1BD,N212JE,3435,29.76289399,-82.27407800,40500,-576,4167,2012
1520550322502,1520550331671,A1C1BD,N212JE,,29.75730799,-82.25964700,40575,-576,199,520
1520550324502,1520550332544,A1C1BD,N212JE,,29.75875900,-82.26345899,40550,-576,692,1081
